epoch,train_loss,train_acc,val_loss,val_acc
1,2.2497503007351387,0.4451049528416431,1.3372613476265751,0.6380468324559811
2,1.487026594413275,0.5919223708366116,1.1689923257528274,0.6835178798330006
3,1.312168007006929,0.633806373906033,1.0246442887458032,0.720412053004175
4,1.2112375659463988,0.6587891326941943,0.975447147570714,0.7400163369032492
5,1.1419289874739416,0.6744956338452274,0.9326419838761478,0.7450989290252314
6,1.0925504788897493,0.6866276189643616,0.9126569150114778,0.7499546197131967
7,1.0370383667831922,0.6993229788928713,0.895850823965971,0.7552641132691958
8,0.9977367947125237,0.7102213674466493,0.8761848778230436,0.7618442548556907
9,0.9650771504806683,0.7170401453118473,0.8759091607042916,0.770012706480305
10,0.9351926946027243,0.72708375829278,0.8495484627857682,0.7720548193864586
11,0.9092654126021464,0.7320181445542053,0.8545607498822098,0.7714648756580141
12,0.877595690712607,0.7391088964653088,0.8309679281410797,0.7783626792521329
13,0.8618634293958726,0.742906819749201,0.82355332064053,0.7816300599019786
14,0.8415746643782216,0.748268593797049,0.8339600761046231,0.7777727355236885
15,0.8260546073196959,0.753397247234121,0.8413128917220284,0.7807678344527138
16,0.8159072103301759,0.7563598216627327,0.8407632639088287,0.7814031584679615
17,0.8054314492469061,0.757913959067906,0.8238679524189895,0.781902341622799
18,0.7776890216076957,0.7641013686122524,0.8097001574264072,0.7897531312397894
19,0.765433970612737,0.7681226991481385,0.7952060514124796,0.7937919767652932
20,0.7498780027489422,0.7713183941875261,0.7971444162618748,0.794654202214558
